acpi-support-base 0.140-5+deb7u3
libquadmath0:amd64 4.7.2-5
libquorum4 1.4.2-3
librabbitmq1 0.3.0-1~bpo70+1
librados2 0.80.1-1~bpo70+1
librbd1 0.80.1-1~bpo70+1
librdmacm1 1.0.15-1+deb7u1
libreadline5:amd64 5.2+dfsg-2~deb7u1
libreadline6:amd64 6.2+dfsg-0.1
librelp0 1.0.0-1
librtmp0:amd64 2.4+20111222.git4e06e21-1
libruby1.9.1 1.9.3.194-8.1+deb7u2
libsam4 1.4.2-3
libsasl2-2:amd64 2.1.25.dfsg1-6+deb7u1
libsdl1.2debian:amd64 1.2.15-5
libseccomp2:amd64 2.1.1-1~bpo70+1
libselinux1:amd64 2.1.9-5
libsemanage-common 2.1.6-6
libsemanage1:amd64 2.1.6-6
libsensors4:amd64 1:3.3.2-2+deb7u1
libsepol1:amd64 2.1.4-3
libsgutils2-2 1.33-1
libsigsegv2 2.9-4
libslang2:amd64 2.2.4-15
libsm6:amd64 2:1.2.1-2
libsmi2-common 0.4.8+dfsg2-7
libsmi2ldbl:amd64 0.4.8+dfsg2-7
libsnappy1 1.0.5-2
libsndfile1:amd64 1.0.25-5
libsnmp-base 5.4.3~dfsg-2.8+deb7u1
libsnmp15 5.4.3~dfsg-2.8+deb7u1
libspice-server1:amd64 0.12.4-0nocelt2~bpo70+1
libsqlite3-0:amd64 3.7.13-1+deb7u1
libss2:amd64 1.42.5-1.1
libssh2-1:amd64 1.4.2-1.1
libssl-dev 1.0.1e-2+deb7u13
libssl1.0.0:amd64 1.0.1e-2+deb7u13
libstdc++6:amd64 4.7.2-5
libstdc++6-4.7-dev 4.7.2-5
libstonith1 1.0.9+hg2665-1
libstonithd1 1.1.7-1
libsub-name-perl 0.05-1+b2
libsubunit-perl 0.0.18-5~bpo70+1
libswitch-perl 2.16-2
libsysfs2:amd64 2.1.0+repack-2
libsystemd-daemon0:amd64 44-11+deb7u4
libtasn1-3:amd64 2.13-2+deb7u1
libtcmalloc-minimal4 2.0-2
libterm-readkey-perl 2.30-4+b2
libtext-charwidth-perl 0.04-7+b1
libtext-iconv-perl 1.7-5
libtext-wrapi18n-perl 0.06-7
libthai-data 0.1.18-2
libthai0:amd64 0.1.18-2
libtiff4:amd64 3.9.6-11
libtimedate-perl 1.2000-1
libtinfo5:amd64 5.9-10
libtirpc1:amd64 0.2.2-5
libtotem-pg4 1.4.2-3
libtransitioner1 1.1.7-1
libtry-tiny-perl 0.11-1
libts-0.0-0:amd64 1.0-11
libudev0:amd64 175-7.2
libui-dialog-perl 1.08-1.1
libunwind7 0.99-0.3
libusb-0.1-4:amd64 2:0.1.12-20+nmu1
libusb-1.0-0:amd64 2:1.0.18-2~bpo70+1
libusbredirparser1:amd64 0.6-2~bpo70+1
libustr-1.0-1:amd64 1.0.4-3
libuuid-perl 0.02-5
libuuid1:amd64 2.20.1-5.3
libvdeplug2 2.3.2-4
libvirt-clients 1.2.7-11~bpo70+1
libvirt-daemon 1.2.7-11~bpo70+1
libvirt-daemon-system 1.2.7-11~bpo70+1
libvirt0 1.2.7-11~bpo70+1
libvorbis0a:amd64 1.3.2-1.3
libvorbisenc2:amd64 1.3.2-1.3
libvotequorum4 1.4.2-3
libwrap0:amd64 7.6.q-24
libx11-6:amd64 2:1.5.0-1+deb7u1
libx11-data 2:1.5.0-1+deb7u1
libx11-xcb1:amd64 2:1.5.0-1+deb7u1
libxau6:amd64 1:1.0.7-1
libxcb-render0:amd64 1.8.1-2+deb7u1
libxcb-shm0:amd64 1.8.1-2+deb7u1
libxcb1:amd64 1.8.1-2+deb7u1
libxcomposite1:amd64 1:0.4.3-2
libxcursor1:amd64 1:1.1.13-1+deb7u1
libxdamage1:amd64 1:1.1.3-2
